collection,code,lat,long,rpg
Menominee River,MENO,45.098512,-87.610733,GMZ1
Whitefish Bay,WTFB,44.905118,-87.199869,GMZ1
Riley's Bay,RILY,44.86496,-87.527495,GMZ1
North/Moonlight Bays,NMNL,45.102533,-87.049012,GMZ1
Fox River,FOXR,44.54018,-88.003697,GMZ1
Big Bay de Noc,BBDN,45.773782,-86.703815,GMZ1
Peshtigo River,PSTG,44.972986,-87.653979,GMZ1
Muskegon,MSKG,43.211056,-86.343496,GMZ6
Good Harbor Bay,GOOD,45.048599,-85.868914,GMZ4
Manistique,MNST,45.933379,-86.238342,GMZ1
Elk Rapids,EKRP,44.890418,-85.45923,GMZ4
Larsen's Reef,LSRF,44.89017,-87.482397,GMZ1
Ingells Point,IGPT,45.073461,-85.564445,GMZ5
Naubinway,NAUB,46.075975,-85.44922,GMZ2
Epoufette,EPFT,46.036753,-85.175791,GMZ2
Cross Village,CXVL,45.648146,-85.04386,GMZ3
Little Traverse,LTTV,45.402684,-85.009064,GMZ3
